Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -304.13       -70.7452      -374.875      -374.875      
1             1             -301.531      -69.2441      -370.775      -370.775      
2             2             -307.258      -71.6814      -378.94       -378.94       
3             3             -296.325      -68.0076      -364.332      -364.332      
4             4             -314.33       -66.506       -380.836      -380.836      
5             5             -308.781      -65.3954      -374.176      -374.176      
6             6             -313.771      -68.2819      -382.053      -382.053      
7             7             -311.199      -68.2856      -379.484      -379.484      
8             8             -314.109      -69.482       -383.591      -383.591      
9             9             -322.376      -68.0038      -390.38       -390.38       
10            10            -307.509      -74.9071      -382.416      -382.416      
11            11            -307.439      -73.928       -381.367      -381.367      
12            12            -318.531      -68.0529      -386.584      -386.584      
13            13            -297.848      -72.3726      -370.221      -370.221      
14            14            -311.264      -70.2166      -381.481      -381.481      
15            15            -322.998      -72.0329      -395.031      -395.031      
16            16            -309.072      -74.8553      -383.928      -383.928      
17            17            -315.623      -71.5389      -387.162      -387.162      
18            18            -319.93       -72.2668      -392.197      -392.197      
19            19            -299.545      -72.8274      -372.372      -372.372      
20            20            -306.38       -70.1759      -376.555      -376.555      
21            21            -302.315      -72.9884      -375.304      -375.304      
22            22            -303.546      -70.5691      -374.116      -374.116      
23            23            -298.567      -69.9073      -368.475      -368.475      
24            24            -306.981      -73.611       -380.591      -380.591      
25            25            -302.551      -70.7024      -373.254      -373.254      
26            26            -313.014      -73.6777      -386.691      -386.691      
27            27            -306.356      -67.7852      -374.141      -374.141      
28            28            -301.26       -69.5354      -370.796      -370.796      
29            29            -304.88       -70.3667      -375.247      -375.247      
30            30            -313.417      -67.188       -380.605      -380.605      
31            31            -315.423      -73.6048      -389.028      -389.028      
32            32            -300.023      -69.5552      -369.578      -369.578      
33            33            -309.34       -70.3509      -379.691      -379.691      
34            34            -311.824      -71.0362      -382.861      -382.861      
35            35            -312.861      -71.5708      -384.432      -384.432      
36            36            -295.231      -73.2354      -368.467      -368.467      
37            37            -310.712      -64.3427      -375.055      -375.055      
38            38            -308.895      -69.7116      -378.606      -378.606      
39            39            -318.057      -69.8668      -387.924      -387.924      
40            40            -306.414      -71.5702      -377.985      -377.985      
41            41            -318.519      -69.4727      -387.992      -387.992      
42            42            -312.2        -67.5682      -379.768      -379.768      
43            43            -307.391      -71.0321      -378.423      -378.423      
44            44            -314.159      -68.5264      -382.685      -382.685      
45            45            -329.656      -71.147       -400.803      -400.803      
46            46            -318.467      -67.441       -385.908      -385.908      
47            47            -311.213      -72.0021      -383.215      -383.215      
48            48            -306.238      -72.4072      -378.645      -378.645      
49            49            -310.723      -68.0907      -378.814      -378.814      
50            50            -309.986      -67.2265      -377.212      -377.212      
51            51            -301.44       -72.1877      -373.628      -373.628      
52            52            -321.664      -66.5465      -388.211      -388.211      
53            53            -303.164      -71.0363      -374.2        -374.2        
54            54            -304.183      -70.2513      -374.435      -374.435      
55            55            -309.536      -65.8196      -375.356      -375.356      
56            56            -315.82       -73.525       -389.346      -389.346      
57            57            -295.162      -70.1833      -365.345      -365.345      
58            58            -298.612      -70.1456      -368.757      -368.757      
59            59            -301.067      -71.4423      -372.51       -372.51       
60            60            -305.157      -65.4245      -370.582      -370.582      
61            61            -292.049      -71.2378      -363.287      -363.287      
62            62            -295.412      -69.4488      -364.861      -364.861      
63            63            -307.471      -68.4173      -375.889      -375.889      
64            64            -311.785      -69.5033      -381.288      -381.288      
65            65            -309.058      -69.1552      -378.213      -378.213      
66            66            -290.242      -68.3251      -358.567      -358.567      
67            67            -304.752      -73.3407      -378.093      -378.093      
68            68            -306.38       -68.7949      -375.175      -375.175      
69            69            -300.715      -70.7274      -371.442      -371.442      
70            70            -304.515      -69.4499      -373.965      -373.965      
71            71            -305.047      -68.7909      -373.838      -373.838      
72            72            -296.831      -72.8645      -369.695      -369.695      
73            73            -299.851      -67.3643      -367.215      -367.215      
74            74            -295.153      -68.9393      -364.092      -364.092      
75            75            -302.94       -69.6985      -372.638      -372.638      
76            76            -293.867      -67.4656      -361.333      -361.333      
77            77            -289.534      -69.2353      -358.769      -358.769      
78            78            -297.65       -70.0391      -367.689      -367.689      
79            79            -287.599      -67.2084      -354.808      -354.808      
80            80            -310.187      -71.8847      -382.072      -382.072      
81            81            -312.897      -70.8482      -383.745      -383.745      
82            82            -312.522      -68.4509      -380.973      -380.973      
83            83            -308.125      -71.1045      -379.23       -379.23       
84            84            -307.679      -69.855       -377.534      -377.534      
85            85            -297.791      -73.7514      -371.542      -371.542      
86            86            -302.529      -62.7316      -365.26       -365.26       
87            87            -315.537      -68.2974      -383.834      -383.834      
88            88            -302.348      -67.9952      -370.343      -370.343      
89            89            -309.245      -69.5703      -378.815      -378.815      
90            90            -285.986      -66.8692      -352.855      -352.855      
91            91            -310.886      -72.1473      -383.033      -383.033      
92            92            -293.568      -68.8126      -362.381      -362.381      
93            93            -299.529      -71.4127      -370.942      -370.942      
94            94            -287.758      -67.3899      -355.148      -355.148      
95            95            -294.776      -69.7495      -364.526      -364.526      
96            96            -293.201      -68.1962      -361.397      -361.397      
97            97            -291.05       -72.8147      -363.864      -363.864      
98            98            -291.974      -69.3169      -361.291      -361.291      
99            99            -294          -65.5263      -359.526      -359.526      
100           100           -285.356      -69.3132      -354.669      -354.669      
101           101           -294.917      -68.2245      -363.141      -363.141      
102           102           -299.756      -69.4829      -369.239      -369.239      
103           103           -295.594      -69.6427      -365.237      -365.237      
104           104           -298.252      -71.8423      -370.095      -370.095      
105           105           -307.228      -70.5949      -377.823      -377.823      
106           106           -311.412      -67.152       -378.564      -378.564      
107           107           -306.069      -67.7006      -373.769      -373.769      
108           108           -299.165      -65.5213      -364.687      -364.687      
109           109           -305.877      -68.4808      -374.358      -374.358      
110           110           -317.271      -69.1533      -386.424      -386.424      
111           111           -296.07       -68.7305      -364.8        -364.8        
112           112           -302.35       -64.7997      -367.15       -367.15       
113           113           -308.148      -69.1841      -377.332      -377.332      
114           114           -306.492      -67.3981      -373.89       -373.89       
115           115           -307.193      -68.0704      -375.264      -375.264      
116           116           -303.188      -69.1209      -372.309      -372.309      
117           117           -298.357      -69.4042      -367.761      -367.761      
118           118           -305.961      -67.263       -373.224      -373.224      
119           119           -309.817      -67.5361      -377.353      -377.353      
120           120           -305.933      -68.4267      -374.36       -374.36       
121           121           -312.836      -65.2297      -378.066      -378.066      
122           122           -312.624      -68.647       -381.271      -381.271      
123           123           -306.83       -60.7582      -367.588      -367.588      
124           124           -314.532      -67.0886      -381.621      -381.621      
125           125           -294.853      -65.8301      -360.683      -360.683      
126           126           -293.363      -66.4866      -359.85       -359.85       
127           127           -305.327      -70.821       -376.148      -376.148      
128           128           -302.699      -66.7448      -369.444      -369.444      
129           129           -299.722      -72.4697      -372.192      -372.192      
130           130           -301.131      -64.1924      -365.324      -365.324      
131           131           -300.84       -67.5971      -368.437      -368.437      
132           132           -301.091      -65.7662      -366.857      -366.857      
133           133           -297.056      -68.5789      -365.635      -365.635      
134           134           -298.288      -71.0869      -369.375      -369.375      
135           135           -295.906      -68.0057      -363.912      -363.912      
136           136           -293.12       -72.2431      -365.364      -365.364      
137           137           -298.309      -72.3418      -370.651      -370.651      
138           138           -297.833      -69.1859      -367.019      -367.019      
139           139           -300.744      -68.6082      -369.353      -369.353      
140           140           -306.118      -66.1281      -372.246      -372.246      
141           141           -300.612      -71.9723      -372.584      -372.584      
142           142           -304.986      -65.2474      -370.234      -370.234      
143           143           -313.148      -67.1549      -380.303      -380.303      
144           144           -288.509      -63.352       -351.861      -351.861      
145           145           -302.129      -67.2745      -369.404      -369.404      
146           146           -321.807      -70.4437      -392.25       -392.25       
147           147           -308.567      -67.3855      -375.952      -375.952      
148           148           -304.476      -65.5387      -370.015      -370.015      
149           149           -305.328      -66.2086      -371.537      -371.537      
150           150           -320.037      -66.5444      -386.581      -386.581      
151           151           -304.602      -70.3575      -374.959      -374.959      
152           152           -315.321      -69.7646      -385.086      -385.086      
153           153           -302.009      -74.4353      -376.444      -376.444      
154           154           -307.588      -67.393       -374.981      -374.981      
155           155           -307.806      -69.5866      -377.393      -377.393      
156           156           -297.369      -69.5156      -366.884      -366.884      
157           157           -304.829      -70.1304      -374.96       -374.96       
158           158           -302.82       -72.5613      -375.381      -375.381      
159           159           -307.231      -66.2187      -373.45       -373.45       
160           160           -303.3        -68.0364      -371.336      -371.336      
161           161           -298.64       -65.2647      -363.904      -363.904      
162           162           -305.173      -69.1069      -374.28       -374.28       
163           163           -313.885      -66.3287      -380.213      -380.213      
164           164           -310.859      -74.2513      -385.111      -385.111      
165           165           -305.827      -70.0781      -375.905      -375.905      
166           166           -307.05       -70.5114      -377.562      -377.562      
167           167           -308.685      -68.9628      -377.648      -377.648      
168           168           -308.922      -69.0262      -377.949      -377.949      
169           169           -310.708      -70.0639      -380.772      -380.772      
170           170           -310.485      -71.4044      -381.889      -381.889      
171           171           -304.015      -72.8898      -376.905      -376.905      
172           172           -314.304      -73.0012      -387.305      -387.305      
173           173           -301.022      -68.6683      -369.69       -369.69       
174           174           -301.725      -64.7652      -366.49       -366.49       
175           175           -317.655      -74.0655      -391.72       -391.72       
176           176           -316.894      -72.4278      -389.322      -389.322      
177           177           -313.985      -69.7529      -383.738      -383.738      
178           178           -317.257      -72.8322      -390.089      -390.089      
179           179           -309.17       -69.2238      -378.394      -378.394      
180           180           -320.171      -68.6823      -388.853      -388.853      
