Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -156.141      -65.3608      -221.502      -221.502      
1             1             -147.686      -65.3158      -213.001      -213.001      
2             2             -149.243      -63.7169      -212.96       -212.96       
3             3             -156.427      -62.5726      -218.999      -218.999      
4             4             -128.154      -62.1769      -190.33       -190.33       
5             5             -136.864      -65.1632      -202.027      -202.027      
6             6             -147.595      -63.1269      -210.722      -210.722      
7             7             -128.291      -58.3909      -186.682      -186.682      
8             8             -146.939      -62.6578      -209.596      -209.596      
9             9             -102.92       -57.7917      -160.712      -160.712      
10            10            -145.212      -65.2953      -210.507      -210.507      
11            11            -120.483      -62.5725      -183.055      -183.055      
12            12            -133.377      -64.647       -198.024      -198.024      
13            13            -130.8        -61.54        -192.34       -192.34       
14            14            -123.375      -64.1485      -187.524      -187.524      
15            15            -121.243      -63.6284      -184.872      -184.872      
16            16            -128.108      -61.8021      -189.91       -189.91       
17            17            -143.636      -65.5882      -209.224      -209.224      
18            18            -130.78       -63.1233      -193.903      -193.903      
19            19            -128.371      -64.2807      -192.651      -192.651      
20            20            -135.794      -66.239       -202.033      -202.033      
21            21            -121.907      -65.4559      -187.363      -187.363      
22            22            -130.575      -63.8859      -194.461      -194.461      
23            23            -130.382      -64.8074      -195.189      -195.189      
24            24            -127.489      -63.7421      -191.231      -191.231      
25            25            -122.93       -63.8649      -186.794      -186.794      
26            26            -127.655      -64.5267      -192.181      -192.181      
27            27            -129.352      -67.6224      -196.974      -196.974      
28            28            -131.408      -68.5765      -199.984      -199.984      
29            29            -122.057      -62.7514      -184.809      -184.809      
30            30            -126.169      -63.887       -190.056      -190.056      
31            31            -121.064      -59.7842      -180.848      -180.848      
32            32            -132.313      -64.7257      -197.038      -197.038      
33            33            -117.226      -62.739       -179.965      -179.965      
34            34            -114.668      -61.6094      -176.277      -176.277      
35            35            -125.282      -58.0748      -183.357      -183.357      
36            36            -126.206      -64.4613      -190.667      -190.667      
