Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -9.1727       -51.6948      -60.8675      -60.8675      
1             1             -8.7401       -48.4446      -57.1847      -57.1847      
2             2             -14.4788      -49.269       -63.7478      -63.7478      
3             3             -12.9863      -53.2315      -66.2178      -66.2178      
4             4             -12.7729      -50.8387      -63.6116      -63.6116      
5             5             -17.1689      -50.8669      -68.0358      -68.0358      
6             6             -14.9611      -51.1861      -66.1472      -66.1472      
7             7             -16.3747      -49.3796      -65.7543      -65.7543      
8             8             -20.4019      -51.6035      -72.0054      -72.0054      
9             9             -15.7378      -50.9885      -66.7263      -66.7263      
10            10            -16.1706      -49.4847      -65.6553      -65.6553      
11            11            -8.7645       -51.7602      -60.5247      -60.5247      
12            12            -16.9478      -49.1007      -66.0485      -66.0485      
13            13            -16.6092      -49.1908      -65.8         -65.8         
14            14            -12.0698      -49.5512      -61.621       -61.621       
15            15            -10.6065      -48.9923      -59.5988      -59.5988      
16            16            -18.0851      -49.6745      -67.7596      -67.7596      
17            17            -17.1238      -48.879       -66.0028      -66.0028      
18            18            -12.8499      -50.6359      -63.4858      -63.4858      
19            19            -14.2733      -48.715       -62.9883      -62.9883      
20            20            -13.7616      -52.0388      -65.8004      -65.8004      
21            21            -12.2171      -50.3527      -62.5698      -62.5698      
22            22            -2.1469       -52.7725      -54.9194      -54.9194      
23            23            -11.2951      -48.2848      -59.5799      -59.5799      
24            24            -14.3962      -53.4405      -67.8367      -67.8367      
25            25            -15.684       -50.1397      -65.8237      -65.8237      
26            26            -10.9624      -50.1         -61.0624      -61.0624      
27            27            -12.7095      -53.0437      -65.7532      -65.7532      
28            28            -13.3415      -50.5042      -63.8457      -63.8457      
29            29            -15.8987      -51.8119      -67.7106      -67.7106      
30            30            -14.7481      -52.6734      -67.4215      -67.4215      
31            31            -13.8991      -50.254       -64.1531      -64.1531      
32            32            -12.4139      -54.3331      -66.747       -66.747       
33            33            -13.0261      -55.216       -68.2421      -68.2421      
34            34            -16.0484      -54.4861      -70.5345      -70.5345      
35            35            -18.8508      -52.2605      -71.1113      -71.1113      
36            36            -10.5098      -50.6294      -61.1392      -61.1392      
37            37            -13.7972      -49.4735      -63.2707      -63.2707      
38            38            -16.0658      -54.2191      -70.2849      -70.2849      
39            39            -13.9189      -51.8104      -65.7293      -65.7293      
40            40            -14.6677      -50.8771      -65.5448      -65.5448      
41            41            -10.8671      -49.8681      -60.7352      -60.7352      
42            42            -9.577        -53.3975      -62.9745      -62.9745      
43            43            -12.2123      -54.7424      -66.9547      -66.9547      
44            44            -14.2333      -49.5107      -63.744       -63.744       
45            45            -10.5475      -51.4122      -61.9597      -61.9597      
46            46            -13.5459      -50.7433      -64.2892      -64.2892      
47            47            -10.0046      -52.178       -62.1826      -62.1826      
48            48            -9.0698       -53.5432      -62.613       -62.613       
49            49            -13.083       -50.7758      -63.8588      -63.8588      
50            50            -12.4489      -50.3784      -62.8273      -62.8273      
51            51            -12.6351      -50.5312      -63.1663      -63.1663      
52            52            -13.5739      -53.5717      -67.1456      -67.1456      
53            53            -15.9929      -52.006       -67.9989      -67.9989      
54            54            -12.5584      -53.0782      -65.6366      -65.6366      
55            55            -9.3098       -52.0653      -61.3751      -61.3751      
56            56            -13.205       -48.6665      -61.8715      -61.8715      
57            57            -14.0335      -48.7271      -62.7606      -62.7606      
58            58            -12.1903      -51.4887      -63.679       -63.679       
59            59            -14.6612      -51.3835      -66.0447      -66.0447      
60            60            -15.5276      -47.8778      -63.4054      -63.4054      
61            61            -11.8699      -50.9645      -62.8344      -62.8344      
62            62            -14.1772      -52.9         -67.0772      -67.0772      
63            63            -14.0651      -52.0606      -66.1257      -66.1257      
64            64            -14.3515      -49.598       -63.9495      -63.9495      
65            65            -13.3854      -51.9167      -65.3021      -65.3021      
66            66            -16.5986      -51.9034      -68.502       -68.502       
67            67            -13.2813      -50.2605      -63.5418      -63.5418      
68            68            -17.125       -52.3892      -69.5142      -69.5142      
69            69            -16.5837      -50.9628      -67.5465      -67.5465      
70            70            -17.7164      -53.2375      -70.9539      -70.9539      
71            71            -18.8133      -51.2289      -70.0422      -70.0422      
72            72            -16.3118      -52.6223      -68.9341      -68.9341      
73            73            -15.0988      -53.8168      -68.9156      -68.9156      
74            74            -14.4437      -49.255       -63.6987      -63.6987      
75            75            -13.8022      -54.9071      -68.7093      -68.7093      
76            76            -13.4864      -52.4475      -65.9339      -65.9339      
77            77            -11.9676      -50.9914      -62.959       -62.959       
78            78            -15.7864      -54.1336      -69.92        -69.92        
79            79            -16.7017      -54.14        -70.8417      -70.8417      
80            80            -13.4003      -52.499       -65.8993      -65.8993      
81            81            -14.3906      -48.1795      -62.5701      -62.5701      
82            82            -16.3065      -54.5338      -70.8403      -70.8403      
83            83            -15.8853      -49.092       -64.9773      -64.9773      
84            84            -14.233       -52.2747      -66.5077      -66.5077      
85            85            -15.6928      -51.5868      -67.2796      -67.2796      
86            86            -16.8944      -51.5989      -68.4933      -68.4933      
87            87            -11.5449      -52.7008      -64.2457      -64.2457      
88            88            -13.4913      -54.7189      -68.2102      -68.2102      
89            89            -14.111       -54.6643      -68.7753      -68.7753      
90            90            -9.8815       -53.1555      -63.037       -63.037       
91            91            -10.9941      -53.3468      -64.3409      -64.3409      
92            92            -15.7317      -52.2972      -68.0289      -68.0289      
93            93            -14.8242      -52.5002      -67.3244      -67.3244      
94            94            -14.0202      -51.7527      -65.7729      -65.7729      
95            95            -14.2171      -52.9975      -67.2146      -67.2146      
96            96            -17.9909      -48.2985      -66.2894      -66.2894      
97            97            -12.4569      -47.9994      -60.4563      -60.4563      
98            98            -12.7331      -51.7226      -64.4557      -64.4557      
99            99            -7.7136       -53.0984      -60.812       -60.812       
100           100           -15.3655      -49.6131      -64.9786      -64.9786      
101           101           -13.0079      -53.3757      -66.3836      -66.3836      
102           102           -5.4523       -49.7387      -55.191       -55.191       
103           103           -9.0014       -54.223       -63.2244      -63.2244      
104           104           -11.5234      -48.6515      -60.1749      -60.1749      
105           105           -15.5089      -52.7977      -68.3066      -68.3066      
106           106           -10.2414      -52.4106      -62.652       -62.652       
107           107           -14.3959      -50.9737      -65.3696      -65.3696      
